#Software: Microsoft Internet Information Services 7.0
#Version: 1.0
#Date: 2010-04-15 01:00:25
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2010-04-15 01:00:24 W3SVC20 67.222.136.138 GET /robots.txt - 80 - 66.249.71.132 Googlebot-Image/1.0 404 0 2 1405 211 25
2010-04-15 01:00:24 W3SVC20 67.222.136.138 GET /images/House/Kitchen2.JPG - 80 - 66.249.71.132 Googlebot-Image/1.0 304 0 0 210 259 82
#Software: Microsoft Internet Information Services 7.0
#Version: 1.0
#Date: 2010-04-15 03:38:28
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2010-04-15 03:38:28 W3SVC20 67.222.136.138 GET / - 80 - 208.80.193.39 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+{A50C4B46-8BD8-5DDB-3837-CFE56690FCE5}) 200 0 0 9018 157 155
#Software: Microsoft Internet Information Services 7.0
#Version: 1.0
#Date: 2010-04-15 23:21:28
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2010-04-15 23:21:27 W3SVC20 67.222.136.138 GET / - 80 - 24.87.70.115 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10_5_8;+en-us)+AppleWebKit/531.22.7+(KHTML,+like+Gecko)+Version/4.0.5+Safari/531.22.7 200 0 0 8999 483 326
2010-04-15 23:21:28 W3SVC20 67.222.136.138 GET /images/maunakealogo.gif - 80 - 24.87.70.115 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10_5_8;+en-us)+AppleWebKit/531.22.7+(KHTML,+like+Gecko)+Version/4.0.5+Safari/531.22.7 200 0 0 1574 348 135
2010-04-15 23:21:28 W3SVC20 67.222.136.138 GET /images/pattern.gif - 80 - 24.87.70.115 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10_5_8;+en-us)+AppleWebKit/531.22.7+(KHTML,+like+Gecko)+Version/4.0.5+Safari/531.22.7 200 0 0 8618 343 147
2010-04-15 23:21:28 W3SVC20 67.222.136.138 GET /NoIEActivate.js - 80 - 24.87.70.115 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10_5_8;+en-us)+AppleWebKit/531.22.7+(KHTML,+like+Gecko)+Version/4.0.5+Safari/531.22.7 404 0 2 1405 340 105
2010-04-15 23:21:28 W3SVC20 67.222.136.138 GET /images/princelogo.gif - 80 - 24.87.70.115 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10_5_8;+en-us)+AppleWebKit/531.22.7+(KHTML,+like+Gecko)+Version/4.0.5+Safari/531.22.7 200 0 0 1949 346 101
2010-04-15 23:21:28 W3SVC20 67.222.136.138 GET /images/shadow.jpg - 80 - 24.87.70.115 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10_5_8;+en-us)+AppleWebKit/531.22.7+(KHTML,+like+Gecko)+Version/4.0.5+Safari/531.22.7 200 0 0 19736 342 389
2010-04-15 23:21:28 W3SVC20 67.222.136.138 GET /images/source/header.png - 80 - 24.87.70.115 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10_5_8;+en-us)+AppleWebKit/531.22.7+(KHTML,+like+Gecko)+Version/4.0.5+Safari/531.22.7 200 0 0 27876 349 485
2010-04-15 23:21:28 W3SVC20 67.222.136.138 GET /images/submenu1.gif - 80 - 24.87.70.115 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10_5_8;+en-us)+AppleWebKit/531.22.7+(KHTML,+like+Gecko)+Version/4.0.5+Safari/531.22.7 200 0 0 2297 344 82
2010-04-15 23:21:28 W3SVC20 67.222.136.138 GET /images/menu.gif - 80 - 24.87.70.115 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10_5_8;+en-us)+AppleWebKit/531.22.7+(KHTML,+like+Gecko)+Version/4.0.5+Safari/531.22.7 200 0 0 2585 340 94
2010-04-15 23:21:28 W3SVC20 67.222.136.138 GET /images/pages/com_about/images/body_photo.jpg - 80 - 24.87.70.115 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10_5_8;+en-us)+AppleWebKit/531.22.7+(KHTML,+like+Gecko)+Version/4.0.5+Safari/531.22.7 404 0 2 1405 369 94
2010-04-15 23:21:28 W3SVC20 67.222.136.138 GET /images/source/header2.png - 80 - 24.87.70.115 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10_5_8;+en-us)+AppleWebKit/531.22.7+(KHTML,+like+Gecko)+Version/4.0.5+Safari/531.22.7 200 0 0 27735 350 341
2010-04-15 23:21:28 W3SVC20 67.222.136.138 GET /images/footer.gif - 80 - 24.87.70.115 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10_5_8;+en-us)+AppleWebKit/531.22.7+(KHTML,+like+Gecko)+Version/4.0.5+Safari/531.22.7 200 0 0 3585 342 91
2010-04-15 23:21:28 W3SVC20 67.222.136.138 GET /images/shadow_bottom.jpg - 80 - 24.87.70.115 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10_5_8;+en-us)+AppleWebKit/531.22.7+(KHTML,+like+Gecko)+Version/4.0.5+Safari/531.22.7 200 0 0 1140 349 86
2010-04-15 23:21:28 W3SVC20 67.222.136.138 GET /images/pages/com_about/images/nav_roll.jpg - 80 - 24.87.70.115 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10_5_8;+en-us)+AppleWebKit/531.22.7+(KHTML,+like+Gecko)+Version/4.0.5+Safari/531.22.7 404 0 2 1405 367 72
2010-04-15 23:21:28 W3SVC20 67.222.136.138 GET /images/pages/com_about/images/subnav_roll.jpg - 80 - 24.87.70.115 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10_5_8;+en-us)+AppleWebKit/531.22.7+(KHTML,+like+Gecko)+Version/4.0.5+Safari/531.22.7 404 0 2 1405 370 71
2010-04-15 23:21:30 W3SVC20 67.222.136.138 GET /images/source/plumeriasmall.png - 80 - 24.87.70.115 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10_5_8;+en-us)+AppleWebKit/531.22.7+(KHTML,+like+Gecko)+Version/4.0.5+Safari/531.22.7 200 0 0 121830 356 1710
2010-04-15 23:21:30 W3SVC20 67.222.136.138 GET /flash/Current/finish.swf - 80 - 24.87.70.115 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10_5_8;+en-us)+AppleWebKit/531.22.7+(KHTML,+like+Gecko)+Version/4.0.5+Safari/531.22.7 200 0 0 233848 349 2885
2010-04-15 23:21:30 W3SVC20 67.222.136.138 GET /images/waikolailogo.jpg - 80 - 24.87.70.115 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10_5_8;+en-us)+AppleWebKit/531.22.7+(KHTML,+like+Gecko)+Version/4.0.5+Safari/531.22.7 200 0 0 5290 348 173
2010-04-15 23:21:32 W3SVC20 67.222.136.138 GET /favicon.ico - 80 - 24.87.70.115 Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10_5_8;+en-us)+AppleWebKit/531.22.7+(KHTML,+like+Gecko)+Version/4.0.5+Safari/531.22.7 404 0 2 1405 336 72
