#Software: Microsoft Internet Information Services 7.0
#Version: 1.0
#Date: 2010-06-19 07:19:49
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2010-06-19 07:19:49 W3SVC20 67.222.136.138 GET /guest.htm - 80 - 77.253.236.21 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+NT;+DigExt) 200 0 0 9129 230 581
#Software: Microsoft Internet Information Services 7.0
#Version: 1.0
#Date: 2010-06-19 12:26:19
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2010-06-19 12:26:19 W3SVC20 67.222.136.138 GET /robots.txt - 80 - 67.195.115.106 Mozilla/5.0+(compatible;+Yahoo!+Slurp;+http://help.yahoo.com/help/us/ysearch/slurp) 404 0 2 1424 200 56
2010-06-19 12:26:19 W3SVC20 67.222.136.138 GET /third.htm - 80 - 67.195.115.106 Mozilla/5.0+(compatible;+Yahoo!+Slurp/3.0;+http://help.yahoo.com/help/us/ysearch/slurp) 200 0 0 8582 372 125
#Software: Microsoft Internet Information Services 7.0
#Version: 1.0
#Date: 2010-06-19 16:08:14
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2010-06-19 16:08:14 W3SVC20 67.222.136.138 GET /robots.txt - 80 - 95.108.142.138 Yandex/1.01.001+(compatible;+Win16;+H) 404 0 2 1405 165 182
2010-06-19 16:08:15 W3SVC20 67.222.136.138 GET /robots.txt - 80 - 95.108.142.138 Yandex/1.01.001+(compatible;+Win16;+H) 404 0 2 1405 161 176
2010-06-19 16:08:16 W3SVC20 67.222.136.138 GET / - 80 - 95.108.142.138 Yandex/1.01.001+(compatible;+Win16;+H) 200 0 0 8999 205 365
2010-06-19 16:08:16 W3SVC20 67.222.136.138 GET / - 80 - 95.108.142.138 Yandex/1.01.001+(compatible;+Win16;+H) 200 0 0 2816 201 180
2010-06-19 16:08:18 W3SVC20 67.222.136.138 GET / - 80 - 95.108.142.138 Yandex/1.01.001+(compatible;+Win16;+H) 200 0 0 2816 205 172
2010-06-19 16:08:18 W3SVC20 67.222.136.138 GET / - 80 - 95.108.142.138 Yandex/1.01.001+(compatible;+Win16;+H) 200 0 0 2816 201 166
#Software: Microsoft Internet Information Services 7.0
#Version: 1.0
#Date: 2010-06-19 19:20:44
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2010-06-19 19:20:44 W3SVC20 67.222.136.138 GET /robots.txt - 80 - 77.88.25.28 Yandex/1.01.001+(compatible;+Win16;+I) 404 0 2 1405 165 164
