#Software: Microsoft Internet Information Services 7.0
#Version: 1.0
#Date: 2010-10-12 04:04:35
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2010-10-12 04:04:35 W3SVC20 67.222.136.138 GET / - 80 - 178.77.77.126 Mozilla/4.0+(compatible;+MSIE+7.0;+Windows+NT+6.0;+Trident/4.0) 200 0 0 9018 237 462
#Software: Microsoft Internet Information Services 7.0
#Version: 1.0
#Date: 2010-10-12 11:37:14
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2010-10-12 11:37:14 W3SVC20 67.222.136.138 GET /robots.txt - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 404 0 2 1405 207 182
2010-10-12 11:37:15 W3SVC20 67.222.136.138 GET /bigisland.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 8626 260 554
2010-10-12 11:37:15 W3SVC20 67.222.136.138 GET /amenities.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 8546 260 373
2010-10-12 11:37:16 W3SVC20 67.222.136.138 GET /amenities.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2617 260 186
2010-10-12 11:37:17 W3SVC20 67.222.136.138 GET /kitchen.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 8578 258 202
2010-10-12 11:37:17 W3SVC20 67.222.136.138 GET /entry.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 8441 256 189
2010-10-12 11:37:21 W3SVC20 67.222.136.138 GET /entry.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2555 256 187
2010-10-12 11:37:23 W3SVC20 67.222.136.138 GET /kitchen.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2606 258 184
2010-10-12 11:37:24 W3SVC20 67.222.136.138 GET /master.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 9207 257 190
2010-10-12 11:37:24 W3SVC20 67.222.136.138 GET /living.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 9082 257 177
2010-10-12 11:37:25 W3SVC20 67.222.136.138 GET /master.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2872 257 184
2010-10-12 11:37:27 W3SVC20 67.222.136.138 GET /living.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2888 257 195
2010-10-12 11:37:30 W3SVC20 67.222.136.138 GET /reservations.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 8584 263 201
2010-10-12 11:37:30 W3SVC20 67.222.136.138 GET /vistas.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 8750 257 199
2010-10-12 11:37:32 W3SVC20 67.222.136.138 GET /vistas.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2609 257 207
2010-10-12 11:37:32 W3SVC20 67.222.136.138 GET /waikolai.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 8448 259 191
2010-10-12 11:37:34 W3SVC20 67.222.136.138 GET /reservations.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2547 263 190
2010-10-12 11:37:34 W3SVC20 67.222.136.138 GET /robots.txt - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 404 0 2 1405 203 182
2010-10-12 11:37:35 W3SVC20 67.222.136.138 GET /waikolai.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2551 259 196
2010-10-12 11:37:35 W3SVC20 67.222.136.138 GET /amenities.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2617 256 171
2010-10-12 11:37:36 W3SVC20 67.222.136.138 GET /amenities.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2617 256 171
2010-10-12 11:37:37 W3SVC20 67.222.136.138 GET /entry.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2555 252 172
2010-10-12 11:37:37 W3SVC20 67.222.136.138 GET /entry.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2555 252 171
2010-10-12 11:37:39 W3SVC20 67.222.136.138 GET /bigisland.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 8626 256 185
2010-10-12 11:37:41 W3SVC20 67.222.136.138 GET /kitchen.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2606 254 171
2010-10-12 11:37:43 W3SVC20 67.222.136.138 GET /bigisland.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2562 256 209
2010-10-12 11:37:43 W3SVC20 67.222.136.138 GET /kitchen.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2606 254 182
2010-10-12 11:37:45 W3SVC20 67.222.136.138 GET /living.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2888 253 173
2010-10-12 11:37:45 W3SVC20 67.222.136.138 GET /master.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2872 253 172
2010-10-12 11:37:47 W3SVC20 67.222.136.138 GET /living.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2888 253 173
2010-10-12 11:37:47 W3SVC20 67.222.136.138 GET /master.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2872 253 172
2010-10-12 11:37:51 W3SVC20 67.222.136.138 GET /reservations.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2547 259 173
2010-10-12 11:37:52 W3SVC20 67.222.136.138 GET /vistas.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2609 253 182
2010-10-12 11:37:52 W3SVC20 67.222.136.138 GET /reservations.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2547 259 172
2010-10-12 11:37:54 W3SVC20 67.222.136.138 GET /vistas.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2609 253 172
2010-10-12 11:37:55 W3SVC20 67.222.136.138 GET /waikolai.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2551 255 173
2010-10-12 11:37:55 W3SVC20 67.222.136.138 GET /waikolai.htm - 80 - 95.108.151.244 Mozilla/5.0+(compatible;+YandexBot/3.0;+MirrorDetector;++http://yandex.com/bots) 200 0 0 2551 255 172
#Software: Microsoft Internet Information Services 7.0
#Version: 1.0
#Date: 2010-10-12 14:49:34
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2010-10-12 14:49:34 W3SVC20 67.222.136.138 GET /guest.htm - 80 - 173.242.114.100 Mozilla/4.0+(compatible;+MSIE+6.0;+AOL+9.0;+Windows+NT+5.1) 200 0 0 9129 235 173
#Software: Microsoft Internet Information Services 7.0
#Version: 1.0
